"Maturity","Forecast_Generation_Date","Prediction_Day","Target_Date","Predicted_Yield","Predicted_Return","time","diff"
"5","2025-12-03T00:00:00.000000000","7","12-12-2025","6.135568598271866","-0.0009734847714631444","1765107142794","1"
"2","2025-12-03T00:00:00.000000000","8","12-15-2025","5.735618170497157","-0.000196543437636416","1765107142794","1"
"5","2025-12-03T00:00:00.000000000","13","12-22-2025","6.143575492350287","0.001019917697436726","1765107142794","1"
"1","2025-12-03T00:00:00.000000000","21","01-01-2026","5.650084540341367","0.0004089060736827479","1765107142794","1"
"5","2025-12-03T00:00:00.000000000","5","12-10-2025","6.151200704739953","-0.0016596436714655543","1765107142794","1"
"10","2025-12-03T00:00:00.000000000","13","12-22-2025","6.537325333941626","-1.568094727169827e-5","1765107142794","1"
"10","2025-12-03T00:00:00.000000000","10","12-17-2025","6.53764657604971","-1.7803480977784773e-5","1765107142794","1"
"1","2025-12-03T00:00:00.000000000","16","12-25-2025","5.637537834251699","0.0005027168949105999","1765107142794","1"
"1","2025-12-03T00:00:00.000000000","3","12-08-2025","5.595571270666284","0.001601307333450398","1765107142794","1"
"5","2025-12-03T00:00:00.000000000","12","12-19-2025","6.137315935213202","0.0007284038516146281","1765107142794","1"
"2","2025-12-03T00:00:00.000000000","18","12-29-2025","5.726005478004572","-0.00014639387373197553","1765107142794","1"
"5","2025-12-03T00:00:00.000000000","2","12-05-2025","6.190214272341026","-0.00356059723337769","1765107142794","1"
"7","2025-12-03T00:00:00.000000000","13","12-22-2025","6.649959799338982","0.0014177656813204149","1765107142794","1"
"1","2025-12-03T00:00:00.000000000","18","12-29-2025","5.642865478299221","0.00046206988683429335","1765107142794","1"
"7","2025-12-03T00:00:00.000000000","7","12-12-2025","6.590954565883255","0.0015863068866975596","1765107142794","1"
"10","2025-12-03T00:00:00.000000000","7","12-12-2025","6.538012206169357","-2.1487364872970968e-5","1765107142794","1"
"1","2025-12-03T00:00:00.000000000","13","12-22-2025","5.628710679318298","0.0005768647118812456","1765107142794","1"
"5","2025-12-03T00:00:00.000000000","11","12-18-2025","6.13284874456629","0.00044226058037019145","1765107142794","1"
"2","2025-12-03T00:00:00.000000000","2","12-05-2025","5.7425107685538235","-6.0872087923650574e-5","1765107142794","1"
"2","2025-12-03T00:00:00.000000000","7","12-12-2025","5.736745690215958","-0.0002019207202268239","1765107142794","1"
"2","2025-12-03T00:00:00.000000000","12","12-19-2025","5.731428700788477","-0.000174663479111489","1765107142794","1"
"5","2025-12-03T00:00:00.000000000","16","12-25-2025","6.170084103124435","0.0016067055204657108","1765107142794","1"
"10","2025-12-03T00:00:00.000000000","15","12-24-2025","6.537132936151984","-1.4402200416134808e-5","1765107142794","1"
"1","2025-12-03T00:00:00.000000000","19","12-30-2025","5.645369051061375","0.0004436704670317164","1765107142794","1"
"2","2025-12-03T00:00:00.000000000","3","12-08-2025","5.741697617751192","-0.0001416019639151778","1765107142794","1"
"5","2025-12-03T00:00:00.000000000","19","12-30-2025","6.203170160407362","0.0018310312231254943","1765107142794","1"
"1","2025-12-03T00:00:00.000000000","12","12-19-2025","5.6254655467564705","0.0005863443599304829","1765107142794","1"
"1","2025-12-03T00:00:00.000000000","6","12-11-2025","5.6042121547135","0.001170109990076838","1765107142794","1"
"5","2025-12-03T00:00:00.000000000","17","12-26-2025","6.180727293161136","0.0017249667684938004","1765107142794","1"
"10","2025-12-03T00:00:00.000000000","16","12-25-2025","6.53704271327947","-1.380159672369338e-5","1765107142794","1"
"2","2025-12-03T00:00:00.000000000","20","12-31-2025","5.724401260987815","-0.0001380318933911942","1765107142794","1"
"1","2025-12-03T00:00:00.000000000","7","12-12-2025","5.6077959880440025","0.0006394892326637867","1765107142794","1"
"5","2025-12-03T00:00:00.000000000","20","12-31-2025","6.214487231011201","0.0018244011225214624","1765107142794","1"
"10","2025-12-03T00:00:00.000000000","14","12-23-2025","6.537227086606651","-1.5028674565976691e-5","1765107142794","1"
"5","2025-12-03T00:00:00.000000000","1","12-04-2025","6.2123338912068755","-0.002195006230826353","1765107142794","1"
"7","2025-12-03T00:00:00.000000000","12","12-19-2025","6.640545062444187","0.0014446470841709886","1765107142794","1"
"10","2025-12-03T00:00:00.000000000","12","12-19-2025","6.537427847002988","-1.6365348079771993e-5","1765107142794","1"
"2","2025-12-03T00:00:00.000000000","19","12-30-2025","5.725191520013349","-0.0001421511024306411","1765107142794","1"
"7","2025-12-03T00:00:00.000000000","20","12-31-2025","6.711446034001639","0.0012421735383124628","1765107142794","1"
"1","2025-12-03T00:00:00.000000000","15","12-24-2025","5.6347051727635105","0.0005199849014248152","1765107142794","1"
"1","2025-12-03T00:00:00.000000000","17","12-26-2025","5.640259284329995","0.0004827373506499383","1765107142794","1"
"10","2025-12-03T00:00:00.000000000","3","12-08-2025","6.538775230030069","-9.63605336579609e-5","1765107142794","1"
"1","2025-12-03T00:00:00.000000000","5","12-10-2025","5.5976622741654225","0.0007892737101411126","1765107142794","1"
"7","2025-12-03T00:00:00.000000000","6","12-11-2025","6.580515848275114","0.0016167775104777588","1765107142794","1"
"2","2025-12-03T00:00:00.000000000","17","12-26-2025","5.7268438528604495","-0.00015076395293335911","1765107142794","1"
"2","2025-12-03T00:00:00.000000000","21","01-01-2026","5.723634004524627","-0.00013403261375421463","1765107142794","1"
"5","2025-12-03T00:00:00.000000000","10","12-17-2025","6.130137626341914","6.630906278075961e-5","1765107142794","1"
"7","2025-12-03T00:00:00.000000000","15","12-24-2025","6.668304571184336","0.001365382825088664","1765107142794","1"
"2","2025-12-03T00:00:00.000000000","1","12-04-2025","5.742860348453887","-0.0014153454262063323","1765107142794","1"
"2","2025-12-03T00:00:00.000000000","10","12-17-2025","5.73346128348699","-0.00018525651525457896","1765107142794","1"
"5","2025-12-03T00:00:00.000000000","15","12-24-2025","6.16018649747185","0.0014536921707973658","1765107142794","1"
"10","2025-12-03T00:00:00.000000000","8","12-15-2025","6.537883624859689","-1.9666728298018028e-5","1765107142794","1"
"10","2025-12-03T00:00:00.000000000","4","12-09-2025","6.538346064560212","-6.563392298381031e-5","1765107142794","1"
"10","2025-12-03T00:00:00.000000000","2","12-05-2025","6.539405370621387","0.0004565882825502076","1765107142794","1"
"7","2025-12-03T00:00:00.000000000","4","12-09-2025","6.559103784366188","0.0016617472552470807","1765107142794","1"
"7","2025-12-03T00:00:00.000000000","9","12-16-2025","6.611303440292003","0.001528125119671224","1765107142794","1"
"5","2025-12-03T00:00:00.000000000","6","12-11-2025","6.141547301042652","-0.001569352742768109","1765107142794","1"
"2","2025-12-03T00:00:00.000000000","14","12-23-2025","5.72951299457272","-0.0001646772314543043","1765107142794","1"
"1","2025-12-03T00:00:00.000000000","4","12-09-2025","5.593247670824533","-0.0004152569468522929","1765107142794","1"
"2","2025-12-03T00:00:00.000000000","13","12-22-2025","5.730456670312155","-0.00016959653989734574","1765107142794","1"
"1","2025-12-03T00:00:00.000000000","20","12-31-2025","5.647775130787593","0.0004262041514834173","1765107142794","1"
"10","2025-12-03T00:00:00.000000000","18","12-29-2025","6.536873398381632","-1.2674809879958948e-5","1765107142794","1"
"2","2025-12-03T00:00:00.000000000","4","12-09-2025","5.740364948639656","-0.0002321036739057242","1765107142794","1"
"7","2025-12-03T00:00:00.000000000","3","12-08-2025","6.548222293942481","0.0017245808996615253","1765107142794","1"
"1","2025-12-03T00:00:00.000000000","2","12-05-2025","5.586625366497671","0.004106917735413842","1765107142794","1"
"7","2025-12-03T00:00:00.000000000","18","12-29-2025","6.694644473984889","0.0012901611159456708","1765107142794","1"
"2","2025-12-03T00:00:00.000000000","16","12-25-2025","5.727707384667007","-0.0001552651984866192","1765107142794","1"
"7","2025-12-03T00:00:00.000000000","10","12-17-2025","6.621219237385833","0.001499824835356826","1765107142794","1"
"5","2025-12-03T00:00:00.000000000","14","12-23-2025","6.151244481528392","0.001248294122478784","1765107142794","1"
"7","2025-12-03T00:00:00.000000000","5","12-10-2025","6.569893791746391","0.0016450429410676383","1765107142794","1"
"1","2025-12-03T00:00:00.000000000","1","12-04-2025","5.563775398637149","-0.0032648873813778366","1765107142794","1"
"10","2025-12-03T00:00:00.000000000","5","12-10-2025","6.53826783612993","-1.1964559463421495e-5","1765107142794","1"
"5","2025-12-03T00:00:00.000000000","3","12-08-2025","6.176885119312427","-0.0021532619780475267","1765107142794","1"
"5","2025-12-03T00:00:00.000000000","21","01-01-2026","6.225565881346497","0.001782713508527477","1765107142794","1"
"7","2025-12-03T00:00:00.000000000","8","12-15-2025","6.601215956368701","0.001556889883380928","1765107142794","1"
"7","2025-12-03T00:00:00.000000000","14","12-23-2025","6.659212197221629","0.0013913464384503367","1765107142794","1"
"2","2025-12-03T00:00:00.000000000","11","12-18-2025","5.732429946946773","-0.00017988026590263313","1765107142794","1"
"1","2025-12-03T00:00:00.000000000","14","12-23-2025","5.63177673389369","0.0005447170320297149","1765107142794","1"
"2","2025-12-03T00:00:00.000000000","15","12-24-2025","5.728596836391859","-0.00015990158006938646","1765107142794","1"
"10","2025-12-03T00:00:00.000000000","9","12-16-2025","6.5377629709884015","-1.8454576161127268e-5","1765107142794","1"
"1","2025-12-03T00:00:00.000000000","8","12-15-2025","5.611018867166203","0.0005747140461370946","1765107142794","1"
"5","2025-12-03T00:00:00.000000000","8","12-15-2025","6.131215916319196","-0.0007094178612714181","1765107142794","1"
"10","2025-12-03T00:00:00.000000000","20","12-31-2025","6.5367179104591","-1.1640024904385673e-5","1765107142794","1"
"10","2025-12-03T00:00:00.000000000","17","12-26-2025","6.536956253059333","-1.3226197828189457e-5","1765107142794","1"
"2","2025-12-03T00:00:00.000000000","6","12-11-2025","5.737904291983188","-0.00020774651161297936","1765107142794","1"
"7","2025-12-03T00:00:00.000000000","11","12-18-2025","6.630965657242214","0.0014719977555416762","1765107142794","1"
"2","2025-12-03T00:00:00.000000000","9","12-16-2025","5.734523641353432","-0.00019083019670928071","1765107142794","1"
"7","2025-12-03T00:00:00.000000000","16","12-25-2025","6.67723922153789","0.001339868366565611","1765107142794","1"
"5","2025-12-03T00:00:00.000000000","4","12-09-2025","6.161426477200038","-0.0025026598056771695","1765107142794","1"
"1","2025-12-03T00:00:00.000000000","11","12-18-2025","5.622169019661216","0.0005918496433887201","1765107142794","1"
"10","2025-12-03T00:00:00.000000000","11","12-18-2025","6.537534836036164","-1.7091779472442215e-5","1765107142794","1"
"7","2025-12-03T00:00:00.000000000","19","12-30-2025","6.703119596215078","0.0012659555355214744","1765107142794","1"
"10","2025-12-03T00:00:00.000000000","19","12-30-2025","6.536793998904042","-1.2146399777154294e-5","1765107142794","1"
"1","2025-12-03T00:00:00.000000000","10","12-17-2025","5.618843509134078","0.0006716212772224801","1765107142794","1"
"5","2025-12-03T00:00:00.000000000","9","12-16-2025","6.129731169612959","-0.00024216186911391524","1765107142794","1"
"7","2025-12-03T00:00:00.000000000","17","12-26-2025","6.686018432982159","0.001314796602756167","1765107142794","1"
"10","2025-12-03T00:00:00.000000000","1","12-04-2025","6.536420917420677","0.00037051077757542647","1765107142794","1"
"7","2025-12-03T00:00:00.000000000","2","12-05-2025","6.536948796905273","0.002044925994504385","1765107142794","1"
"2","2025-12-03T00:00:00.000000000","5","12-10-2025","5.739096569275265","-0.0002209579662163924","1765107142794","1"
"10","2025-12-03T00:00:00.000000000","21","01-01-2026","6.536644994888574","-1.1154767809177114e-5","1765107142794","1"
"7","2025-12-03T00:00:00.000000000","21","01-01-2026","6.719626003823603","0.001218808849914221","1765107142794","1"
"1","2025-12-03T00:00:00.000000000","9","12-16-2025","5.615072307099488","0.0007224071116574225","1765107142794","1"
"7","2025-12-03T00:00:00.000000000","1","12-04-2025","6.52360850030503","0.0016288193313418434","1765107142794","1"
"5","2025-12-03T00:00:00.000000000","18","12-29-2025","6.19183272136617","0.0017967834007692055","1765107142794","1"
"10","2025-12-03T00:00:00.000000000","6","12-11-2025","6.538152693841885","-1.7610518707866958e-5","1765107142794","1"
