ts_ms,open,high,low,close,volume
1701129600000,83.3646,83.4406,83.303,83.4181,16446
1701216000000,83.344,83.4196,83.184,83.3298,19609
1701302400000,83.189,83.4315,83.179,83.353,14500
1701388800000,83.324,83.4047,83.0402,83.2186,22218
1701561600000,83.2186,83.2186,83.2186,83.2186,1
1701648000000,83.2505,83.809,83.1593,83.4316,19453
1701734400000,83.4317,83.709,83.197,83.3189,15085
1701820800000,83.335,83.3983,83.239,83.332,12393
1701907200000,83.3333,83.4298,83.266,83.3545,14777
1701993600000,83.218,83.7368,80.6737,83.4301,18105
1702166400000,83.4301,83.4301,83.4301,83.4301,1
1702252800000,83.4128,83.4548,83.3108,83.3424,9893
1702339200000,83.3423,83.483,83.3136,83.3911,11946
1702425600000,83.375,83.4835,82.8346,83.2833,13083
1702512000000,83.2832,83.4083,83.122,83.299,25367
1702598400000,83.291,83.3304,82.8898,83.0417,30999
1702771200000,83.0417,83.0417,83.0417,83.0417,1
1702857600000,83.0288,83.24,82.9153,83.1283,18661
1702944000000,83.1039,83.2742,83.038,83.0876,17076
1703030400000,82.967,83.2751,82.967,83.2672,15814
1703116800000,83.2673,83.3297,83.035,83.1316,17161
1703203200000,83.2208,83.3353,82.9504,83.3087,27073
1703376000000,83.165,83.165,83.165,83.165,1
1703462400000,83.1723,83.1723,83.165,83.1723,6
1703548800000,83.1724,83.3461,83.0621,83.1828,12031
1703635200000,83.2027,83.3745,83.1206,83.2682,14569
1703721600000,83.2672,83.3712,80.2249,82.8908,15691
1703808000000,83.145,83.3629,82.1219,82.8993,20955
1703980800000,83.2486,83.2486,83.2486,83.2486,1
1704067200000,83.2188,83.238,83.15,83.2026,45
1704153600000,83.2022,83.3675,83.12,83.2572,12711
1704240000000,83.2576,83.3989,83.2462,83.2941,15586
1704326400000,83.2867,83.4228,83.197,83.2493,14144
1704412800000,83.243,83.2853,83.032,83.093,28041
1704585600000,83.1911,83.1911,83.1911,83.1911,1
1704672000000,83.1896,83.2112,82.9771,83.041,17262
1704758400000,83.0604,83.211,82.9832,83.1311,13740
1704844800000,83.1363,83.185,82.8433,83.0139,14787
1704931200000,83.0357,83.2016,82.9176,83.0736,19258
1705017600000,83.0678,83.1,82.7546,82.7907,24135
1705190400000,82.8721,82.8721,82.8721,82.8721,1
1705276800000,82.8793,82.9714,82.7706,82.8594,14073
1705363200000,82.888,83.1412,82.8036,83.0892,26876
1705449600000,83.174,83.4283,82.882,83.1336,21282
1705536000000,83.065,83.2459,83.05,83.1642,17326
1705622400000,83.1643,83.2313,83.041,83.0746,16794
1705795200000,83.1247,83.1247,83.1247,83.1247,1
1705881600000,83.1222,83.2311,82.0101,83.0951,13312
1705968000000,83.0898,83.2296,81.0949,83.2214,16450
1706054400000,83.215,83.2353,83.0133,83.1054,16327
1706140800000,83.09,83.2433,83.078,83.1487,14779
1706227200000,83.1506,83.2403,83.0667,83.0783,11594
1706400000000,83.1213,83.1213,83.1213,83.1213,1
1706486400000,83.1418,83.2713,83.11,83.1531,8296
1706572800000,83.159,83.2345,83.0746,83.1103,10464
1706659200000,83.1088,83.1845,82.9175,83.0536,16388
1706745600000,83.0531,83.0853,82.899,82.9408,3801
1706832000000,82.9409,83.0337,82.6709,82.9972,19371
1707004800000,82.9993,82.9993,82.9993,82.9993,1
1707091200000,83.0008,83.1357,82.9421,83.1037,11755
1707177600000,83.0438,83.1486,82.975,83.0704,9623
1707264000000,83.0706,83.0976,82.932,82.9883,11835
1707350400000,82.9884,83.0745,82.894,82.9825,11625
1707436800000,82.9792,83.1164,82.902,82.9787,11368
1707609600000,83.0145,83.0145,83.0145,83.0145,1
1707696000000,83.0048,83.404,82.8756,82.9902,10123
1707782400000,82.9808,83.1715,82.8358,83.0746,12106
1707868800000,83.0453,83.1267,82.985,83.0151,10837
1707955200000,83.0378,83.1032,82.9626,83.0096,12172
1708041600000,82.999,83.1726,82.9548,82.981,10256
1708214400000,83.016,83.016,83.016,83.016,1
1708300800000,83.0178,83.0923,82.9121,83.0204,6474
1708387200000,83.0209,83.0403,82.756,82.8666,12575
1708473600000,82.8383,83.0317,82.813,82.9376,12963
1708560000000,82.9425,83.017,82.817,82.8723,14828
1708646400000,82.85,82.9472,82.811,82.8889,7896
1708819200000,82.8818,82.8818,82.8818,82.8818,1
1708905600000,82.8618,82.9787,82.786,82.852,7630
1708992000000,82.8498,83.1333,82.76,82.9442,11224
1709078400000,82.9238,83.0186,82.8465,82.9119,9936
1709164800000,82.9128,83.0238,82.84,82.914,9922
1709251200000,82.924,83.0007,82.7784,82.8484,9431
1709424000000,82.8461,82.8461,82.8461,82.8461,1
1709510400000,82.8458,83.0182,82.8151,82.9115,7243
1709596800000,82.479,83.0007,82.479,82.8848,7881
1709683200000,82.8839,82.9129,82.76,82.8191,8435
1709769600000,82.865,83.232,82.62,82.7228,9502
1709856000000,82.803,82.8103,82.652,82.7542,13289
1710115200000,82.7528,82.8252,82.1782,82.7784,10843
1710201600000,82.7785,83.376,82.7173,82.8351,12541
1710288000000,82.8352,82.9501,82.75,82.833,10094
1710374400000,82.8278,83.0333,82.7795,82.9655,12197
1710460800000,82.9653,82.9781,82.8126,82.8889,12190
1710720000000,82.8758,83.011,82.82,82.8636,7996
1710806400000,82.864,83.1015,82.864,83.011,10497
1710892800000,83.0421,83.2271,82.95,83.0546,14091
1710979200000,83.02,83.287,82.797,83.215,14105
1711065600000,83.2127,83.7181,83.0981,83.5936,20633
1711238400000,83.5936,83.5936,83.5936,83.5936,1
1711324800000,83.6005,83.6007,83.3523,83.4176,12123
1711411200000,83.488,83.4993,82.7645,83.3345,12758
1711497600000,83.3344,83.464,83.259,83.3601,13280
1711584000000,83.364,83.4983,83.3,83.393,12707
1711670400000,83.3942,83.4415,83.06,83.3831,5033
1711843200000,83.3648,83.3648,83.3648,83.3648,1
1711929600000,83.3649,83.4414,82.9876,83.4097,7219
1712016000000,83.4413,83.4744,83.1836,83.3501,10264
1712102400000,83.361,83.6163,82.915,83.3733,12702
1712188800000,83.416,83.5536,83.319,83.4813,10346
1712275200000,83.429,83.5092,83.24,83.2968,16785
1712534400000,83.2969,83.3656,83.2302,83.2702,12056
1712620800000,83.2577,83.346,83.165,83.2243,12301
1712707200000,83.187,83.4758,83.154,83.4128,20923
1712793600000,83.429,83.4947,83.27,83.3493,18859
1712880000000,83.3494,83.622,83.2281,83.6111,16973
1713139200000,83.6112,83.6116,83.1524,83.5064,9838
1713225600000,83.493,83.7341,82.4551,83.6675,18620
1713312000000,83.631,83.7489,83.3609,83.5958,19946
1713398400000,83.588,83.6675,83.4698,83.545,14633
1713484800000,83.557,83.883,83.3447,83.3702,19798
1713657600000,83.3853,83.3853,83.3853,83.3853,1
1713744000000,83.3854,83.4538,83.278,83.39,11442
1713830400000,83.3898,83.4439,83.2281,83.2903,15415
1713916800000,83.2902,83.427,83.22,83.3401,11708
1714003200000,83.327,83.434,83.249,83.2846,14512
1714089600000,83.287,83.4367,83.2181,83.4027,17560
1714262400000,83.4027,83.4027,83.4023,83.4023,3
1714348800000,83.4024,83.5775,83.2743,83.4442,15769
1714435200000,83.41,83.5904,83.3897,83.4984,15974
1714521600000,83.4985,83.5714,82.8652,83.4064,11384
1714608000000,83.4381,83.5346,83.2718,83.4042,13635
1714694400000,83.349,83.491,83.186,83.3622,22240
1714867200000,83.3804,83.3804,83.38,83.38,2
1714953600000,83.3801,83.6005,83.2758,83.5184,9604
1715040000000,83.425,83.5974,83.422,83.4638,13445
1715126400000,83.4715,83.5962,83.426,83.4645,10144
1715212800000,83.461,83.5855,83.353,83.4618,11779
1715299200000,83.465,83.6165,83.447,83.5246,10065
1715472000000,83.5466,83.5466,83.5248,83.5248,5
1715558400000,83.5243,83.6184,83.46,83.5054,7731
1715644800000,83.496,83.5997,83.4153,83.5233,9769
1715731200000,83.5263,83.6003,83.3292,83.4041,13964
1715817600000,83.367,83.581,83.359,83.4771,9145
1715904000000,83.4776,83.5071,83.2377,83.3011,11481
1716076800000,83.2986,83.3004,83.2986,83.3004,2
1716163200000,83.3005,83.3884,83.226,83.3151,6625
1716249600000,83.297,83.3882,83.226,83.3173,11467
1716336000000,83.3172,83.3853,83.213,83.2748,15215
1716422400000,83.2738,83.3736,83.188,83.2865,13788
1716508800000,83.2866,83.3821,82.9879,83.0551,16354
1716681600000,83.0585,83.0585,83.0522,83.0522,2
1716768000000,83.0523,83.1934,83.0334,83.1465,7044
1716854400000,83.144,83.2708,83.087,83.2066,11530
1716940800000,83.15,83.4417,83.139,83.3657,13650
1717027200000,83.3658,83.4374,83.1942,83.3209,14628
1717113600000,83.242,83.5353,83.0973,83.4375,19020
1717286400000,83.4606,83.4606,83.4508,83.4508,2
1717372800000,83.4509,83.4511,82.958,83.0981,16019
1717459200000,83.085,83.6763,83.0379,83.6763,24045
1717545600000,83.808,85.186,83.185,83.3808,19134
1717632000000,83.372,83.5458,83.316,83.4696,13439
1717718400000,83.4701,83.5557,83.2256,83.519,15037
1717891200000,83.5267,83.5276,83.5267,83.5276,2
1717977600000,83.5277,83.5918,83.4467,83.5312,8435
1718064000000,83.5446,83.6912,83.466,83.5968,11145
1718150400000,83.5978,83.6304,83.3813,83.4542,16061
1718236800000,83.529,83.6151,83.43,83.5271,10795
1718323200000,83.5276,83.6302,83.452,83.5492,11049
1718496000000,83.55,83.5518,83.55,83.5518,2
1718582400000,83.5519,83.6299,83.413,83.5002,6871
1718668800000,83.516,83.5437,83.2877,83.3741,11402
1718755200000,83.372,83.4973,83.336,83.4195,8545
1718841600000,83.4194,83.7064,83.4077,83.6016,10736
1718928000000,83.567,83.6281,83.4216,83.554,8859
1719100800000,83.5627,83.5627,83.5625,83.5625,2
1719187200000,83.5558,83.5793,83.4167,83.4464,8516
1719273600000,83.469,83.5147,83.3732,83.4157,9915
1719360000000,83.4162,83.6564,83.402,83.5811,10031
1719446400000,83.5878,83.5958,83.3898,83.4509,11122
1719532800000,83.451,83.545,83.2982,83.3681,12283
1719705600000,83.3641,83.3675,83.3641,83.3675,2
1719792000000,83.3676,83.5145,83.3488,83.4413,8899
1719878400000,83.442,83.5731,83.4229,83.4811,9555
1719964800000,83.4841,83.6123,83.4346,83.4912,9458
1720051200000,83.49,83.5848,83.4635,83.4923,7180
1720137600000,83.4918,83.5299,83.4375,83.4693,10065
1720310400000,83.4768,83.4768,83.4721,83.4721,2
1720396800000,83.4722,83.5464,83.4333,83.4576,6965
1720483200000,83.4577,83.5738,83.451,83.491,7518
1720569600000,83.4878,83.5819,83.433,83.4944,7038
1720656000000,83.4954,83.5888,83.3972,83.5247,14275
1720742400000,83.5246,83.5648,83.4607,83.511,9782
1720915200000,83.5191,83.5203,83.5191,83.5203,2
1721001600000,83.5204,83.6172,83.3589,83.5882,7369
1721088000000,83.5877,83.6644,83.5045,83.5411,10180
1721174400000,83.5617,83.6233,83.494,83.5719,7370
1721260800000,83.5688,83.7004,83.549,83.6743,9108
1721347200000,83.6891,83.7433,83.5805,83.717,8811
1721520000000,83.7296,83.7303,83.7296,83.7303,2
1721606400000,83.7304,83.7495,83.518,83.6709,7004
1721692800000,83.618,83.7704,83.5993,83.7068,8203
1721779200000,83.689,83.7933,83.6379,83.7432,7120
1721865600000,83.795,83.8588,83.6468,83.7445,8277
1721952000000,83.722,83.8015,83.6415,83.6425,5867
1722124800000,83.715,83.7303,83.715,83.7278,24
1722211200000,83.7348,83.8071,83.6941,83.7505,8408
1722297600000,83.751,83.8205,83.692,83.7736,5990
1722384000000,83.796,83.8124,83.6026,83.7178,10295
1722470400000,83.664,83.811,83.631,83.7439,8861
1722556800000,83.731,83.8312,83.5873,83.7945,10638
1722729600000,83.7671,83.7671,83.7353,83.7353,2
1722816000000,83.7354,84.1743,83.6921,84.0026,19861
1722902400000,84.008,84.0953,83.8069,83.9349,12325
1722988800000,83.934,84.0335,83.858,83.9422,9289
1723075200000,83.906,84.0877,83.2721,83.9889,7948
1723161600000,83.99,84.0219,83.878,83.9221,7384
1723334400000,83.9508,83.9508,83.9498,83.9498,2
1723420800000,83.8215,84.0264,83.8215,83.89,4674
1723507200000,83.887,84.0286,83.8498,83.882,8958
1723593600000,83.884,84.05,83.883,83.9715,8905
1723680000000,83.954,84.0255,83.8042,83.9483,7071
1723766400000,83.9484,84.0254,83.7221,83.8613,6182
1723939200000,83.8755,83.8898,83.8755,83.8898,2
1724025600000,83.8899,83.9413,83.7797,83.8766,9165
1724112000000,83.692,84.479,83.394,83.7911,9346
1724198400000,83.796,83.9956,83.62,83.8915,9222
1724284800000,83.88,84.0331,83.8737,83.9406,7712
1724371200000,83.936,83.9868,83.7698,83.776,12016
1724544000000,83.8137,83.8138,83.8137,83.8138,2
1724630400000,83.8139,83.9677,83.5267,83.8853,6301
1724716800000,83.876,84.0192,83.84,83.9219,6416
1724803200000,83.913,84.0328,83.8916,83.9415,7130
1724889600000,83.934,83.9973,83.8331,83.8951,10573
1724976000000,83.895,83.9562,83.8013,83.8721,10504
1725148800000,83.8898,83.8898,83.8608,83.8608,13
1725235200000,83.8638,83.9824,83.8503,83.9271,5435
1725321600000,83.9272,84.0555,83.82,83.9506,6035
1725408000000,83.943,84.0658,83.9119,83.9822,6112
1725494400000,83.9821,84.0849,83.9523,83.9831,6440
1725580800000,83.9788,84.0258,83.8935,83.9889,10784
1725753600000,83.9876,83.9876,83.9826,83.9826,2
1725840000000,83.9448,84.0763,83.92,83.9809,5097
1725926400000,84.182,84.4083,83.94,83.982,5444
1726012800000,83.957,84.1203,83.8583,83.9932,6791
1726099200000,83.9933,84.0234,83.894,83.9231,6854
1726185600000,83.931,84.0253,83.8217,83.8583,8167
1726358400000,83.883,83.8848,83.883,83.8848,2
1726444800000,83.8849,83.9976,83.8204,83.884,6550
1726531200000,83.897,83.9138,83.696,83.7706,10244
1726617600000,83.787,83.8723,83.3458,83.6917,13752
1726704000000,83.687,83.7843,83.5633,83.6145,12230
1726790400000,83.6167,83.64,83.4338,83.4817,10721
1726963200000,83.4802,83.4871,83.4802,83.4871,2
1727049600000,83.4872,83.6748,83.4458,83.5486,8137
1727136000000,83.558,83.7713,83.507,83.5911,8465
1727222400000,83.632,84.761,83.2878,83.6903,10570
1727308800000,83.6902,83.809,83.5574,83.6117,10508
1727395200000,83.6118,83.8118,83.5636,83.7182,13361
1727568000000,83.7183,83.7183,83.7164,83.7164,2
1727654400000,83.7165,83.9437,83.6041,83.8298,9927
1727740800000,83.797,84.0244,83.7594,83.8776,10878
1727827200000,83.863,84.0967,83.854,83.9166,8228
1727913600000,83.903,84.1408,83.8846,84.0094,9130
1728000000000,83.996,84.0515,83.8022,84.0299,8950
1728172800000,84.0301,84.0301,84.0278,84.0278,2
1728259200000,84.0068,84.1271,83.945,83.9641,5930
1728345600000,83.9647,84.1134,83.884,83.9256,8118
1728432000000,83.883,84.0898,83.759,83.9422,5897
1728518400000,83.919,84.1051,83.864,83.9467,7152
1728604800000,83.9468,84.2505,83.93,84.1046,8763
1728777600000,84.1371,84.1371,84.1371,84.1371,1
1728864000000,84.1683,84.205,83.9753,84.0502,5507
1728950400000,84.0501,84.1907,84.01,84.09,6355
1729036800000,84.0634,84.1568,83.98,84.0393,5916
1729123200000,84.02,84.1427,83.994,84.0488,7096
1729209600000,84.0533,84.1809,84.007,84.0711,4921
1729382400000,84.0692,84.0692,84.0687,84.0687,2
1729468800000,84.0798,84.1864,84.0215,84.0742,4275
1729555200000,84.0743,84.1948,84.058,84.0892,3214
1729641600000,84.081,84.186,84.0484,84.0677,3659
1729728000000,84.0678,84.1841,84.04,84.0818,3696
1729814400000,84.0785,84.1761,84.053,84.0979,4646
1729987200000,84.102,84.102,84.102,84.102,1
1730073600000,84.0968,84.1736,84.04,84.1028,3351
1730160000000,84.102,84.1697,84.0266,84.0868,5404
1730246400000,84.076,84.1987,84.04,84.0891,4347
1730332800000,84.083,85.34,84.0366,84.0915,5288
1730419200000,84.0897,84.1657,84.0153,84.0867,5219
1730592000000,84.1336,84.1336,84.1336,84.1336,1
1730678400000,84.1824,84.2566,84.0425,84.1525,5109
1730764800000,84.1678,84.2279,84.0611,84.1163,5673
1730851200000,84.1178,84.5593,83.7312,84.2512,15911
1730937600000,84.224,84.4567,84.2183,84.3064,10378
1731024000000,84.3048,84.4395,84.299,84.3085,7300
1731196800000,84.3829,84.3829,84.3829,84.3829,1
1731283200000,84.3698,84.4956,84.3658,84.4123,4113
1731369600000,84.4088,84.5041,84.3511,84.3933,6819
1731456000000,84.3938,84.5315,84.342,84.4233,7455
1731542400000,84.4234,84.881,84.3842,84.4738,8113
1731628800000,84.4737,84.5827,84.4003,84.424,6748
1731801600000,84.4775,84.4775,84.4775,84.4775,1
1731888000000,84.4458,84.5215,84.3725,84.3985,6010
1731974400000,84.391,84.5282,84.3493,84.3976,6227
1732060800000,84.404,84.4858,84.3049,84.3845,4453
1732147200000,84.3878,84.6124,84.34,84.4883,7197
1732233600000,84.4944,84.5817,84.395,84.4036,7651
1732492800000,84.2461,84.42,84.2259,84.3775,2297
1732579200000,84.3241,84.4556,84.218,84.3393,10544
1732665600000,84.3378,84.5664,84.2957,84.4203,9434
1732752000000,84.4204,84.636,84.36,84.4715,6772
