Entry_Date,Entry_Price,Exit_Date,Exit_Price,Type,USD_Amount,Profit,Profit_Pct,Holding_Days,Capital_Before,Capital_After
2020-12-22,74.20230102539062,2020-12-30,73.66480255126953,LONG (Signal),1347.6671022072737,-724.3690110596071,-0.724369011059607,8,100000.0,99275.6309889404
2020-12-30,73.66480255126953,2021-01-13,73.41400146484375,SHORT (Signal),1347.6671022072737,337.9963733738686,0.3404625787888696,14,99275.6309889404,99613.62736231426
2021-01-13,73.41400146484375,2021-01-18,73.41999816894531,LONG (Signal),1356.8750561841655,8.13677821472811,0.008168338439411562,5,99613.62736231428,99621.764140529
2021-01-18,73.41999816894531,2021-02-26,74.17870330810547,SHORT (Signal),1356.8750561841655,-1029.4680783251522,-1.0333766794903954,39,99621.764140529,98592.29606220385
2021-02-26,74.17870330810547,2021-03-12,72.87329864501953,LONG (Signal),1329.1186238817781,-1735.0376494096417,-1.7598105721312867,14,98592.29606220385,96857.25841279421
2021-03-12,72.87329864501953,2021-03-30,73.65229797363281,SHORT (Signal),1329.1186238817781,-1035.3825156513135,-1.068977723113569,18,96857.25841279421,95821.87589714289
2021-03-30,73.65229797363281,2021-04-28,74.94599914550781,LONG (Signal),1301.0032074144744,1683.1093740452343,1.756498042108795,29,95821.87589714289,97504.98527118812
2021-04-28,74.94599914550781,2021-06-08,72.97869873046875,SHORT (Signal),1301.0032074144744,2559.464149913647,2.624957219156615,41,97504.98527118812,100064.44942110177
2021-06-08,72.97869873046875,2021-06-09,73.01349639892578,LONG (Signal),1371.1459804273636,47.71268323309778,0.04768195249074747,1,100064.44942110177,100112.16210433487
2021-06-09,73.01349639892578,2021-06-11,73.31839752197266,SHORT (Signal),1371.1459804273636,-418.06394929351166,-0.4175955653198398,2,100112.16210433487,99694.09815504136
2021-06-11,73.31839752197266,2021-07-26,74.7020034790039,LONG (Signal),1359.7419136876827,1881.3470118033438,1.8871197459227003,45,99694.09815504136,101575.4451668447
2021-07-26,74.7020034790039,2021-08-13,74.31529998779297,SHORT (Signal),1359.7419136876827,525.8169451688681,0.5176614725194434,18,101575.4451668447,102101.26211201357
2021-08-13,74.31529998779297,2021-08-16,74.28579711914062,LONG (Signal),1373.8928878546508,-40.53378141275607,-0.03969958899067001,3,102101.26211201357,102060.72833060082
2021-08-16,74.28579711914062,2021-08-20,74.47560119628906,SHORT (Signal),1373.8928878546508,-260.77047168005373,-0.25550520356405004,4,102060.72833060082,101799.95785892077
2021-08-20,74.47560119628906,2021-08-25,74.30180358886719,LONG (Signal),1366.8900448432125,-237.56221940252,-0.23336180524921735,5,101799.95785892077,101562.39563951825
2021-08-25,74.30180358886719,2021-09-13,73.77680206298828,SHORT (Signal),1366.8900448432125,717.6193592513732,0.7065797874623443,19,101562.39563951825,102280.01499876962
2021-09-13,73.77680206298828,2021-10-22,75.09980010986328,LONG (Signal),1386.3438389677856,1834.1301912515628,1.7932439599990542,39,102280.01499876962,104114.14519002118
2021-10-22,75.09980010986328,2021-11-22,74.7343978881836,SHORT (Signal),1386.3438389677856,506.5731187707758,0.4865555183171482,31,104114.14519002118,104620.71830879195
2021-11-22,74.7343978881836,2021-12-24,75.19200134277344,LONG (Signal),1399.900464379519,640.5992885820015,0.6123063375375122,32,104620.71830879195,105261.31759737396
2021-12-24,75.19200134277344,2022-01-20,74.65249633789062,SHORT (Signal),1399.900464379519,755.2533068705239,0.7175031855095892,27,105261.31759737396,106016.57090424448
2022-01-20,74.65249633789062,2022-02-07,74.78489685058594,LONG (Signal),1420.1343036727721,188.02650990246912,0.17735577400659097,18,106016.57090424448,106204.59741414695
2022-02-07,74.78489685058594,2022-02-11,75.53929901123047,SHORT (Signal),1420.1343036727721,-1071.3523870961562,-1.0087627213710875,4,106204.59741414695,105133.2450270508
2022-02-11,75.53929901123047,2022-02-22,74.99240112304688,LONG (Signal),1391.768872668789,-761.1554573022149,-0.7239912142979792,11,105133.2450270508,104372.08956974858
2022-02-22,74.99240112304688,2022-02-28,75.78600311279297,SHORT (Signal),1391.768872668789,-1104.5105466166287,-1.0582432057935556,6,104372.08956974858,103267.57902313196
2022-02-28,75.78600311279297,2022-03-21,76.27729797363281,LONG (Signal),1362.6207318182214,669.4485628161201,0.6482659602837824,21,103267.57902313196,103937.02758594808
2022-03-21,76.27729797363281,2022-04-14,76.32949829101562,SHORT (Signal),1362.6207318182214,-71.12923467331139,-0.06843493250227199,24,103937.02758594808,103865.89835127477
2022-04-14,76.32949829101562,2022-05-05,76.57260131835938,LONG (Signal),1360.7569901124361,330.80414377550187,0.3184915829223576,21,103865.89835127477,104196.70249505027
2022-05-05,76.57260131835938,2022-05-06,77.06929779052734,SHORT (Signal),1360.7569901124361,-675.8831964667505,-0.6486608311801974,1,104196.70249505027,103520.81929858352
2022-05-06,77.06929779052734,2022-05-30,77.82949829101562,LONG (Signal),1343.2173675690003,1021.1145150905068,0.9863856584686813,24,103520.8192985835,104541.93381367401
2022-05-30,77.82949829101562,2022-06-01,77.94170379638672,SHORT (Signal),1343.2173675690003,-150.71638355130986,-0.14416835240481868,2,104541.93381367401,104391.2174301227
2022-06-01,77.94170379638672,2022-06-03,77.6864013671875,LONG (Signal),1339.349954458683,-341.93929692116217,-0.32755561754996215,2,104391.2174301227,104049.27813320154
2022-06-03,77.6864013671875,2022-06-07,78.05979919433594,SHORT (Signal),1339.349954458683,-500.11036278623095,-0.48064760444181165,4,104049.27813320154,103549.16777041531
2022-06-07,78.05979919433594,2022-07-29,79.65650177001953,LONG (Signal),1326.536435388741,2118.0841431233275,2.045486399098302,52,103549.16777041531,105667.25191353864
2022-07-29,79.65650177001953,2022-08-12,79.93699645996094,SHORT (Signal),1326.536435388741,-372.0864261403432,-0.3521303141722658,14,105667.25191353864,105295.16548739829
2022-08-12,79.93699645996094,2022-09-05,80.02549743652344,LONG (Signal),1317.226943098104,116.57587081861857,0.11071341241452376,24,105295.1654873983,105411.74135821692
2022-09-05,80.02549743652344,2022-09-20,79.99250030517578,SHORT (Signal),1317.226943098104,43.46471045607986,0.04123327240024932,15,105411.74135821692,105455.20606867301
2022-09-20,79.99250030517578,2022-10-28,82.78130340576172,LONG (Signal),1318.3136627353265,3676.5172301810817,3.486330705936806,38,105455.20606867301,109131.72329885409
2022-10-28,82.78130340576172,2022-11-03,82.99629974365234,SHORT (Signal),1318.3136627353265,-283.4326096792717,-0.25971605790838626,6,109131.72329885409,108848.29068917483
2022-11-03,82.99629974365234,2022-11-07,82.3718032836914,LONG (Signal),1311.4836568060334,-819.0169009719975,-0.7524389182286446,4,108848.29068917483,108029.27378820283
2022-11-07,82.3718032836914,2022-11-24,81.87000274658203,SHORT (Signal),1311.4836568060334,658.1032033954348,0.6091896949022182,17,108029.27378820283,108687.37699159827
2022-11-24,81.87000274658203,2022-12-02,81.61499786376953,LONG (Signal),1327.5604414968195,-338.5343948104128,-0.3114753563668963,8,108687.37699159827,108348.84259678786
2022-12-02,81.61499786376953,2022-12-06,82.6001968383789,SHORT (Signal),1327.5604414968195,-1307.9111856946358,-1.2071298173086442,4,108348.84259678786,107040.93141109322
2022-12-06,82.6001968383789,2022-12-30,82.8364028930664,LONG (Signal),1295.8919652520526,306.09752841341833,0.285963065136124,24,107040.93141109322,107347.02893950664
2022-12-30,82.8364028930664,2023-01-31,82.05909729003906,SHORT (Signal),1295.8919652520526,1007.3040855085363,0.9383623333219434,32,107347.02893950664,108354.33302501518
2023-01-31,82.05909729003906,2023-03-02,82.65779876708984,LONG (Signal),1320.442663925917,790.5509732533101,0.7295979322495575,30,108354.33302501518,109144.88399826849
2023-03-02,82.65779876708984,2023-03-16,82.99199676513672,SHORT (Signal),1320.442663925917,-441.28929481972403,-0.40431514392074,14,109144.88399826849,108703.59470344876
2023-03-16,82.99199676513672,2023-03-28,82.37329864501953,LONG (Signal),1309.8081615155568,-810.3758472438203,-0.7454913054665616,12,108703.59470344876,107893.21885620494
2023-03-28,82.37329864501953,2023-04-21,82.28980255126953,SHORT (Signal),1309.8081615155568,109.36386504841808,0.1013630571112844,24,107893.21885620494,108002.58272125336
2023-04-21,82.28980255126953,2023-04-27,81.85099792480469,LONG (Signal),1312.4661789529005,-575.916231403171,-0.5332430177985353,6,108002.58272125336,107426.66648985019
2023-04-27,81.85099792480469,2023-05-11,82.17859649658203,SHORT (Signal),1312.4661789529005,-429.96204573103785,-0.4002377247474781,14,107426.66648985019,106996.70444411915
2023-05-11,82.17859649658203,2023-06-02,82.43180084228516,LONG (Signal),1302.0020906364512,329.672587463705,0.30811471173477323,22,106996.70444411914,107326.37703158284
2023-06-02,82.43180084228516,2023-07-04,82.02559661865234,SHORT (Signal),1302.0020906364512,528.8787483952784,0.4927761124738662,32,107326.37703158284,107855.25577997812
2023-07-04,82.02559661865234,2023-07-17,82.19760131835938,LONG (Signal),1314.8975469378324,226.16855770655093,0.20969637137380565,13,107855.25577997814,108081.42433768469
2023-07-17,82.19760131835938,2023-08-01,82.34539794921875,SHORT (Signal),1314.8975469378324,-194.33742736266854,-0.1798065010278635,15,108081.42433768469,107887.08691032202
2023-08-01,82.34539794921875,2023-08-23,83.08529663085938,LONG (Signal),1310.1774913621095,969.3985985740437,0.8985307012504915,22,107887.08691032202,108856.48550889606
2023-08-23,83.08529663085938,2023-09-07,83.30899810791016,SHORT (Signal),1310.1774913621095,-293.0886400163911,-0.26924315868386095,15,108856.48550889606,108563.39686887967
2023-09-07,83.30899810791016,2023-10-12,83.29989624023438,LONG (Signal),1303.1413092767903,-11.861019759890041,-0.010925431685060022,35,108563.39686887969,108551.5358491198
2023-10-12,83.29989624023438,2023-10-31,83.33100128173828,SHORT (Signal),1303.1413092767903,-40.53426451050929,-0.03734103271173382,19,108551.5358491198,108511.00158460929
2023-10-31,83.33100128173828,2023-11-17,83.28369903564453,LONG (Signal),1302.168459703713,-61.59549293643795,-0.056764283839376505,17,108511.00158460929,108449.40609167285
2023-11-17,83.28369903564453,2023-11-22,83.34609985351562,SHORT (Signal),1302.168459703713,-81.25637689145408,-0.07492560800449902,5,108449.40609167285,108368.1497147814
2023-11-22,83.34609985351562,2023-12-15,83.3302001953125,LONG (Signal),1300.218605372574,-20.673031414771685,-0.019076667331851555,23,108368.1497147814,108347.47668336662
2023-12-15,83.3302001953125,2024-01-02,83.34300231933594,SHORT (Signal),1300.218605372574,-16.645559843560633,-0.01536312644567203,18,108347.47668336662,108330.83112352306
2024-01-02,83.34300231933594,2024-01-09,83.1343994140625,LONG (Signal),1299.8191582833085,-271.14605274796486,-0.2502944452062714,7,108330.83112352306,108059.6850707751
2024-01-09,83.1343994140625,2024-01-23,83.18099975585938,SHORT (Signal),1299.8191582833085,-60.572017050128544,-0.056054223191985164,14,108059.6850707751,107999.11305372497
2024-01-23,83.18099975585938,2024-02-02,83.03309631347656,LONG (Signal),1298.362767587647,-192.03232278788346,-0.17780916653672474,10,107999.11305372497,107807.08073093709
2024-02-02,83.03309631347656,2024-02-16,83.05229949951172,SHORT (Signal),1298.362767587647,-24.932701767105925,-0.02312714674960219,14,107807.08073093709,107782.14802916998
2024-02-16,83.05229949951172,2024-02-19,83.05159759521484,LONG (Signal),1297.7623579200676,-0.9109049753460567,-0.0008451352955960118,3,107782.14802916998,107781.23712419464
2024-02-19,83.05159759521484,2024-03-18,82.9281005859375,SHORT (Signal),1297.7623579200676,160.2697699558421,0.1486991374678375,28,107781.23712419464,107941.50689415049
2024-03-18,82.9281005859375,2024-04-10,83.40139770507812,LONG (Signal),1301.6276284091646,616.0566067199106,0.5707318940099916,23,107941.50689415047,108557.56350087038
2024-04-10,83.40139770507812,2024-04-15,83.61150360107422,SHORT (Signal),1301.6276284091646,-273.4796391201781,-0.2519213128046904,5,108557.56350087038,108284.0838617502
2024-04-15,83.61150360107422,2024-04-24,83.34960174560547,LONG (Signal),1295.0859534639321,-339.1854142037191,-0.3132366291585088,9,108284.0838617502,107944.89844754648
2024-04-24,83.34960174560547,2024-05-07,83.51499938964844,SHORT (Signal),1295.0859534639321,-214.20416553607623,-0.19843843351259827,13,107944.89844754648,107730.6942820104
2024-05-07,83.51499938964844,2024-05-20,83.31659698486328,LONG (Signal),1289.9562362370498,-255.93041933703353,-0.23756499579133458,13,107730.6942820104,107474.76386267337
2024-05-20,83.31659698486328,2024-06-04,83.67030334472656,SHORT (Signal),1289.9562362370498,-456.2657247023458,-0.4245328934012291,15,107474.76386267337,107018.49813797102
2024-06-04,83.67030334472656,2024-06-13,83.56159973144531,LONG (Signal),1279.0499599009283,-139.0373522084701,-0.1299189902938271,9,107018.49813797102,106879.46078576255
2024-06-13,83.56159973144531,2024-06-26,83.61360168457031,SHORT (Signal),1279.0499599009283,-66.5130960593012,-0.06223187838926807,13,106879.46078576255,106812.94768970326
2024-06-26,83.61360168457031,2024-06-27,83.5886001586914,LONG (Signal),1277.4589963562596,-31.938424156644032,-0.029901266510710567,1,106812.94768970324,106781.0092655466
2024-06-27,83.5886001586914,2024-07-15,83.61689758300781,SHORT (Signal),1277.4589963562596,-36.14879926670354,-0.033853209962463916,18,106781.0092655466,106744.86046627989
2024-07-15,83.61689758300781,2024-08-20,83.89399719238281,LONG (Signal),1276.5943673085046,353.7438005115109,0.331391880570453,36,106744.86046627989,107098.6042667914
2024-08-20,83.89399719238281,2024-09-03,83.98509979248047,SHORT (Signal),1276.5943673085046,-116.30106613182718,-0.10859251334602987,14,107098.6042667914,106982.30320065957
2024-09-03,83.98509979248047,2024-09-17,83.90760040283203,LONG (Signal),1273.8248030305745,-98.72064475390653,-0.09227754665997683,14,106982.30320065957,106883.58255590567
2024-09-17,83.90760040283203,2024-10-02,84.0071029663086,SHORT (Signal),1273.8248030305745,-126.74883332156946,-0.11858587660576705,15,106883.58255590567,106756.8337225841
2024-10-02,84.0071029663086,2024-10-30,84.09439849853516,LONG (Signal),1270.8072288292024,110.93579339800635,0.1039144657346073,28,106756.8337225841,106867.7695159821
2024-10-30,84.09439849853516,2024-10-31,84.1865005493164,SHORT (Signal),1270.8072288292024,-117.04395192280678,-0.10952221839467027,1,106867.7695159821,106750.72556405929
2024-10-31,84.1865005493164,2025-01-29,86.69529724121094,LONG (Signal),1268.026641652895,3181.221043812926,2.980046296644541,90,106750.72556405928,109931.9466078722
2025-01-29,86.69529724121094,2025-02-03,87.32559967041016,SHORT (Signal),1268.026641652895,-799.240272523147,-0.7270318566940701,5,109931.9466078722,109132.70633534905
2025-02-03,87.32559967041016,2025-02-17,86.90609741210938,LONG (Signal),1249.721808349953,-524.2611208505405,-0.48038863733440434,14,109132.70633534905,108608.44521449851
2025-02-17,86.90609741210938,2025-02-28,87.54199981689453,SHORT (Signal),1249.721808349953,-794.7011032421893,-0.7317120705233169,11,108608.44521449851,107813.74411125632
2025-02-28,87.54199981689453,2025-03-17,86.96980285644531,LONG (Signal),1231.5659264897167,-704.698279730248,-0.6536256444290147,17,107813.74411125632,107109.04583152608
2025-03-17,86.96980285644531,2025-04-09,86.74299621582031,SHORT (Signal),1231.5659264897167,279.32733049534835,0.26078780585414585,23,107109.04583152608,107388.37316202142
2025-04-09,86.74299621582031,2025-04-17,85.62560272216797,LONG (Signal),1238.0062696339717,-1383.3401507898088,-1.2881656645479715,8,107388.37316202142,106005.03301123162
2025-04-17,85.62560272216797,2025-05-12,85.40840148925781,SHORT (Signal),1238.0062696339717,268.896488115002,0.25366388790852173,25,106005.03301123162,106273.92949934662
2025-05-12,85.40840148925781,2025-05-29,85.61409759521484,LONG (Signal),1244.3029918164802,255.94828004733426,0.2408382575605317,17,106273.92949934662,106529.87777939395
2025-05-29,85.61409759521484,2025-06-04,86.010498046875,SHORT (Signal),1244.3029918164802,-493.2422679581365,-0.4630083862290362,6,106529.87777939395,106036.63551143582
2025-06-04,86.010498046875,2025-06-30,85.92769622802734,LONG (Signal),1232.8336414660305,-102.08086784997431,-0.09626943306680559,26,106036.63551143582,105934.55464358584
2025-06-30,85.92769622802734,2025-07-15,86.0281982421875,SHORT (Signal),1232.8336414660305,-123.90226409173599,-0.11696114125235345,15,105934.55464358584,105810.6523794941
2025-07-15,86.0281982421875,2025-08-18,87.54039764404297,LONG (Signal),1229.9531379422224,1859.9343995064846,1.7577950401777658,34,105810.6523794941,107670.58677900059
2025-08-18,87.54039764404297,2025-08-27,87.9885025024414,SHORT (Signal),1229.9531379422224,-551.1479767143135,-0.5118835080239444,9,107670.58677900059,107119.43880228627
2025-08-27,87.9885025024414,2025-09-18,88.28880310058594,LONG (Signal),1217.4254107724364,365.5935790513031,0.3412952710908901,22,107119.43880228628,107485.03238133759
2025-09-18,88.28880310058594,2025-09-23,88.80809783935547,SHORT (Signal),1217.4254107724364,-632.2026106584616,-0.5881773458610686,5,107485.03238133759,106852.82977067912
2025-09-23,88.80809783935547,2025-10-15,88.78269958496094,LONG (Signal),1203.1879115794675,-30.558872662717476,-0.028599029832247796,22,106852.82977067912,106822.2708980164
2025-10-15,88.78269958496094,2025-10-30,88.7511978149414,SHORT (Signal),1203.1879115794675,37.902548880856486,0.035481878977317555,15,106822.2708980164,106860.17344689726
2025-10-30,88.7511978149414,2025-11-18,88.69400024414062,LONG (Signal),1204.0420419983016,-68.86827994431951,-0.0644470972888161,19,106860.17344689726,106791.30516695294
2025-11-18,88.69400024414062,2025-11-21,89.72579956054688,SHORT (Signal),1204.0420419983016,-1242.3297558582328,-1.1633248174240665,3,106791.30516695294,105548.97541109471
2025-11-21,89.72579956054688,2025-11-26,89.27749633789062,LONG (Open),1176.350346589783,-527.3616513489978,-0.4996369214338812,5,105548.97541109471,105021.61375974571
2025-12-05,1.16062,2025-12-05,1.16062,LONG (Manual),5000,0.0,0.0,0,105021.61375974571,105021.61375974571,EURUSD
2025-12-05,1.16062,2025-12-05,1.16062,SHORT (Manual),5000,0.0,0.0,0,100000.0,100000.0,EURUSD
2025-12-05,1.16062,2025-12-05,1.16062,LONG (Manual),5000,0.0,0.0,0,100000.0,100000.0,EURUSD
2025-12-05,1.16062,2025-12-05,1.16062,SHORT (Manual),5000,0.0,0.0,0,100000.0,100000.0,EURUSD
2025-12-05,1.16062,2025-12-05,1.16062,LONG (Manual),5000,0.0,0.0,0,100000.0,100000.0,EURUSD
2025-12-05,1.16062,2025-12-05,1.16062,SHORT (Manual),5000,0.0,0.0,0,100000.0,100000.0,EURUSD
2025-12-05,1.32084,2025-12-05,1.32084,LONG (Manual),10000,0.0,0.0,0,100000.0,100000.0,GBPUSD
2025-12-05,1.32084,2025-12-05,1.32084,SHORT (Manual),10000,0.0,0.0,0,100000.0,100000.0,GBPUSD
2025-12-05,1.32084,2025-12-05,1.32084,LONG (Manual),10000,0.0,0.0,0,100000.0,100000.0,GBPUSD
2025-12-05,1.32084,2025-12-05,1.32084,SHORT (Manual),10000,0.0,0.0,0,100000.0,100000.0,GBPUSD
2025-12-05,1.16062,2025-12-05,1.16062,LONG (Manual),10000,0.0,0.0,0,100000.0,100000.0,EURUSD
2025-12-05,1.16062,2025-12-05,1.16062,SHORT (Manual),10000,0.0,0.0,0,100000.0,100000.0,EURUSD
2025-12-04,0.57567,2025-12-05,0.575666357430664,LONG (Manual),24615,-0.08966184420683809,-0.0006327530244842832,1,100000.0,99999.9103381558,JPYINR
2025-12-05,0.57567,2025-12-05,0.575666357430664,SHORT (Manual),10000,0.03642569336048673,0.0006327530244842832,0,100000.0,100000.03642569335,JPYINR
2025-12-05,103.945,2025-12-05,103.945,LONG (Manual),10000,0.0,0.0,0,100000.0,100000.0,EURINR
2025-12-05,103.945,2025-12-05,103.945,SHORT (Manual),10000,0.0,0.0,0,100000.0,100000.0,EURINR
2025-12-04,118.39425,2025-12-05,118.3942466094585,SHORT (Manual),21949,0.0744189952471146,2.863772095170381e-06,1,100000.0,100000.07441899525,GBPINR
2025-12-05,1.16062,2025-12-05,1.16062,SHORT (Manual),10000,0.0,0.0,0,100000.0,100000.0,EURUSD
2025-12-05,1.16062,2025-12-05,1.16062,LONG (Manual),10000,0.0,0.0,0,100000.0,100000.0,EURUSD
2025-12-05,1.16062,2025-12-05,1.16062,LONG (Manual),10000,0.0,0.0,0,100000.0,100000.0,EURUSD
2025-12-05,1.16062,2025-12-05,1.16062,LONG (Manual),10000,0.0,0.0,0,100000.0,100000.0,EURUSD
2025-12-05,1.16062,2025-12-05,1.16062,SHORT (Manual),10000,0.0,0.0,0,100000.0,100000.0,EURUSD
2025-12-05,1.16062,2025-12-05,1.16062,LONG (Manual),10000,0.0,0.0,0,100000.0,100000.0,EURUSD
2025-12-05,1.16062,2025-12-05,1.16062,SHORT (Manual),10000,0.0,0.0,0,100000.0,100000.0,EURUSD
2025-12-05,1.16062,2025-12-05,1.16062,LONG (Manual),10000,0.0,0.0,0,100000.0,100000.0,EURUSD
2025-12-05,1.16062,2025-12-05,1.16062,SHORT (Manual),10000,0.0,0.0,0,100000.0,100000.0,EURUSD
2025-12-05,1.16062,2025-12-05,1.16062,LONG (Manual),10000,0.0,0.0,0,100000.0,100000.0,EURUSD
2025-12-05,1.32084,2025-12-05,1.32084,LONG (Manual),10000,0.0,0.0,0,100000.0,100000.0,GBPUSD
2025-12-05,1.16062,2025-12-05,1.16062,LONG (Manual),10000,0.0,0.0,0,100000.0,100000.0,EURUSD
2025-12-05,1.16062,2025-12-05,1.16062,SHORT (Manual),10000,0.0,0.0,0,100000.0,100000.0,EURUSD
2025-12-05,1.16062,2025-12-05,1.16062,LONG (Manual),10000,0.0,0.0,0,100000.0,100000.0,EURUSD
2025-12-05,1.16062,2025-12-05,1.16062,LONG (Manual),10000,0.0,0.0,0,100000.0,100000.0,EURUSD
2025-12-05,1.32084,2025-12-05,1.32084,SHORT (Manual),10000,0.0,0.0,0,100000.0,100000.0,GBPUSD
2025-12-05,156.122,2025-12-05,156.122,LONG (Manual),10000,0.0,0.0,0,100000.0,100000.0,USDJPY
2025-12-06,156.122,2025-12-06,156.122,LONG (Manual),10000,0.0,0.0,0,100000.0,100000.0,USDJPY
2025-12-06,156.122,2025-12-06,156.122,SHORT (Manual),10000,0.0,0.0,0,100000.0,100000.0,USDJPY
2025-12-06,156.122,2025-12-06,156.122,LONG (Manual),10000,0.0,0.0,0,100000.0,100000.0,USDJPY
2025-12-06,156.122,2025-12-06,156.122,SHORT (Manual),10000,0.0,0.0,0,100000.0,100000.0,USDJPY
2025-12-05,1.32084,2025-12-06,1.32084,LONG (Manual),10000,0.0,0.0,1,100000.0,100000.0,GBPUSD
2025-12-06,0.57567,2025-12-06,0.575666357430664,LONG (Manual),10000,-0.03642569336048673,-0.0006327530244842832,0,100000.0,99999.96357430665,JPYINR
2025-12-06,0.57567,2025-12-06,0.575666357430664,SHORT (Manual),10000,0.03642569336048673,0.0006327530244842832,0,99999.96357430665,100000.0,JPYINR
2025-12-07,1.33289,2025-12-07,1.33289,LONG (Manual),0,0.0,0.0,0,100000.0,100000.0,GBPUSD
2025-12-07,1.1644,2025-12-07,1.1644,LONG (Manual),10000,0.0,0.0,0,100000.0,100000.0,EURUSD
2025-12-07,1.1644,2025-12-07,1.1644,SHORT (Manual),10000,0.0,0.0,0,100000.0,100000.0,EURUSD
2025-12-07,1.1644,2025-12-07,1.1644,LONG (Manual),10000,0.0,0.0,0,100000.0,100000.0,EURUSD
2025-12-07,1.1644,2025-12-07,1.1644,LONG (Manual),10000,0.0,0.0,0,100000.0,100000.0,EURUSD
2025-12-07,1.1644,2025-12-07,1.1644,SHORT (Manual),10000,0.0,0.0,0,100000.0,100000.0,EURUSD
2025-12-07,1.1644,2025-12-07,1.1644,LONG (Manual),10000,0.0,0.0,0,100000.0,100000.0,EURUSD
2025-12-07,1.1644,2025-12-07,1.1644,LONG (Manual),10000,0.0,0.0,0,100000.0,100000.0,EURUSD
2025-12-07,1.1644,2025-12-07,1.1644,SHORT (Manual),10000,0.0,0.0,0,100000.0,100000.0,EURUSD
2025-12-07,1.1644,2025-12-07,1.1644,LONG (Manual),10000,0.0,0.0,0,100000.0,100000.0,EURUSD
